iter	Passed	Remaining
0	1	136
1	2	124
2	3	117
3	4	108
4	5	108
5	6	107
6	8	107
7	9	108
8	10	108
9	11	107
10	13	107
11	14	106
12	15	105
13	16	103
14	17	101
15	19	100
16	20	98
17	21	97
18	22	95
19	23	95
20	24	93
21	26	92
22	27	91
23	28	90
24	29	89
25	30	87
26	32	86
27	33	85
28	34	84
29	35	82
30	36	81
31	37	80
32	39	79
33	40	78
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	71
40	48	69
41	48	67
42	49	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	60
48	57	59
49	58	58
50	60	58
51	61	57
52	63	56
53	65	55
54	65	53
55	67	52
56	68	51
57	69	50
58	71	49
59	72	48
60	74	47
61	75	46
62	78	46
63	84	47
64	86	46
65	88	45
66	93	46
67	95	44
68	96	43
69	97	41
70	98	40
71	100	39
72	102	37
73	103	36
74	104	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	112	26
81	113	24
82	114	23
83	116	22
84	118	20
85	126	20
86	128	19
87	130	17
88	132	16
89	134	14
90	137	13
91	140	12
92	142	10
93	144	9
94	146	7
95	147	6
96	149	4
97	170	3
98	172	1
99	174	0
