iter	Passed	Remaining
0	227	227061
1	228	114209
2	230	76522
3	231	57660
4	233	46386
5	234	38897
6	236	33486
7	237	29428
8	238	26262
9	240	23772
10	241	21718
11	242	19989
12	244	18527
13	245	17267
14	246	16181
15	248	15291
16	250	14456
17	251	13708
18	252	13037
19	253	12438
20	255	11894
21	256	11422
22	258	10976
23	259	10564
24	261	10201
25	263	9860
26	264	9528
27	265	9219
28	266	8933
29	267	8664
30	269	8412
31	270	8178
32	271	7955
33	272	7745
34	273	7547
35	274	7360
36	276	7201
37	277	7036
38	279	6875
39	280	6723
40	281	6579
41	282	6440
42	283	6308
43	284	6182
44	285	6061
45	286	5946
46	287	5835
47	288	5730
48	290	5631
49	291	5545
50	293	5452
51	294	5363
52	295	5275
53	296	5192
54	297	5111
55	298	5033
56	299	4957
57	300	4885
58	301	4815
59	302	4746
60	304	4682
61	305	4629
62	307	4568
63	308	4509
64	309	4452
65	310	4398
66	312	4344
67	313	4292
68	314	4242
69	315	4191
70	316	4142
71	317	4095
72	318	4049
73	321	4027
74	323	3985
75	324	3943
76	325	3901
77	326	3859
78	327	3819
79	328	3780
80	329	3741
81	330	3704
82	331	3662
83	332	3626
84	333	3592
85	334	3558
86	337	3538
87	338	3506
88	339	3474
89	340	3443
90	341	3412
91	342	3382
92	343	3353
93	344	3324
94	346	3296
95	347	3268
96	348	3241
97	349	3215
98	351	3200
99	352	3176
100	354	3153
101	355	3130
102	356	3107
103	358	3084
104	359	3063
105	360	3041
106	361	3018
107	362	2997
108	363	2974
109	365	2954
110	366	2933
111	367	2916
112	368	2896
113	370	2876
114	371	2856
115	372	2836
116	373	2816
117	374	2797
118	375	2778
119	376	2760
120	377	2742
121	378	2724
122	379	2706
123	380	2691
124	382	2678
125	383	2661
126	384	2643
127	385	2627
128	386	2612
129	387	2596
130	389	2580
131	390	2565
132	391	2550
133	392	2534
134	393	2520
135	394	2505
136	395	2491
137	397	2480
138	398	2467
139	399	2454
140	400	2440
141	401	2425
142	402	2412
143	403	2399
144	404	2386
145	405	2373
146	407	2362
147	408	2351
148	409	2340
149	411	2329
150	413	2324
151	414	2313
152	415	2301
153	416	2290
154	418	2279
155	419	2268
156	420	2258
157	422	2249
158	423	2239
159	424	2231
160	425	2219
161	428	2214
162	429	2204
163	430	2193
164	431	2183
165	432	2172
166	433	2162
167	434	2152
168	435	2142
169	436	2132
170	437	2122
171	438	2113
172	439	2103
173	441	2094
174	442	2086
175	444	2078
176	445	2069
177	446	2061
178	447	2053
179	448	2044
180	450	2037
181	451	2029
182	452	2021
183	453	2013
184	455	2005
185	456	1998
186	459	1996
187	460	1989
188	462	1985
189	464	1980
190	465	1972
191	467	1965
192	468	1957
193	475	1975
194	477	1972
195	479	1967
196	481	1961
197	482	1955
198	484	1950
199	486	1944
200	487	1937
201	489	1932
202	490	1927
203	492	1922
204	494	1916
205	496	1912
206	497	1905
207	498	1898
208	504	1909
209	507	1908
210	509	1905
211	510	1898
212	512	1891
213	513	1885
214	514	1878
215	515	1872
216	524	1892
217	526	1888
218	527	1882
219	529	1875
220	530	1869
221	532	1866
222	534	1862
223	535	1856
224	543	1871
225	544	1866
226	548	1867
227	550	1864
228	552	1859
229	554	1855
230	555	1849
231	556	1843
232	558	1837
233	559	1831
234	561	1828
235	563	1824
236	569	1832
237	571	1828
238	572	1822
239	573	1816
240	574	1810
241	578	1812
242	580	1808
243	585	1815
244	587	1811
245	589	1807
246	594	1811
247	595	1807
248	597	1802
249	599	1797
250	600	1791
251	601	1785
252	602	1780
253	604	1774
254	605	1768
255	606	1762
256	608	1758
257	609	1753
258	610	1747
259	611	1741
260	612	1735
261	613	1729
262	615	1723
263	616	1717
264	617	1712
265	618	1706
266	619	1700
267	620	1694
268	621	1689
269	623	1685
270	624	1679
271	625	1674
272	626	1668
273	627	1663
274	628	1657
275	630	1652
276	631	1647
277	632	1642
278	633	1637
279	636	1635
280	638	1634
281	640	1630
282	641	1625
283	642	1620
284	644	1616
285	645	1611
286	646	1606
287	648	1603
288	650	1599
289	651	1595
290	654	1593
291	655	1589
292	656	1584
293	657	1579
294	659	1575
295	660	1571
296	662	1567
297	663	1562
298	664	1558
299	665	1553
300	667	1549
301	668	1546
302	670	1541
303	671	1537
304	672	1533
305	674	1528
306	675	1524
307	676	1519
308	677	1515
309	679	1511
310	680	1507
311	681	1502
312	682	1499
313	684	1495
314	685	1491
315	686	1486
316	688	1482
317	689	1477
318	690	1473
319	691	1468
320	692	1464
321	693	1459
322	694	1455
323	695	1451
324	696	1446
325	698	1444
326	699	1439
327	700	1435
328	702	1431
329	703	1427
330	704	1423
331	705	1418
332	706	1414
333	707	1410
334	708	1406
335	709	1402
336	710	1397
337	711	1393
338	713	1390
339	714	1386
340	715	1382
341	716	1378
342	717	1374
343	718	1370
344	719	1366
345	720	1362
346	722	1358
347	723	1354
348	724	1350
349	725	1346
350	726	1342
351	727	1338
352	729	1337
353	730	1333
354	731	1329
355	732	1325
356	734	1322
357	735	1318
358	736	1314
359	737	1310
360	738	1306
361	739	1303
362	740	1299
363	741	1295
364	742	1292
365	745	1290
366	746	1287
367	747	1283
368	748	1280
369	750	1277
370	751	1273
371	752	1270
372	753	1267
373	755	1263
374	756	1260
375	757	1257
376	759	1255
377	760	1251
378	761	1248
379	762	1244
380	763	1241
381	765	1237
382	766	1234
383	767	1230
384	768	1227
385	769	1224
386	770	1220
387	771	1217
388	772	1213
389	774	1211
390	775	1208
391	776	1204
392	777	1201
393	778	1198
394	780	1194
395	781	1191
396	782	1187
397	783	1184
398	784	1181
399	785	1178
400	786	1175
401	787	1171
402	789	1168
403	790	1166
404	791	1163
405	792	1159
406	793	1156
407	794	1153
408	796	1150
409	797	1147
410	798	1143
411	799	1140
412	800	1137
413	801	1134
414	802	1131
415	804	1128
416	805	1126
417	806	1123
418	807	1120
419	808	1117
420	809	1113
421	811	1110
422	812	1107
423	813	1104
424	814	1102
425	815	1099
426	816	1095
427	817	1092
428	819	1090
429	820	1088
430	822	1085
431	823	1082
432	824	1079
433	825	1076
434	826	1073
435	827	1070
436	828	1067
437	829	1064
438	830	1061
439	832	1058
440	833	1056
441	834	1053
442	835	1051
443	837	1048
444	838	1045
445	839	1043
446	841	1040
447	842	1038
448	844	1036
449	845	1033
450	847	1031
451	848	1029
452	851	1027
453	852	1025
454	853	1022
455	854	1019
456	856	1017
457	857	1014
458	858	1011
459	859	1008
460	860	1006
461	861	1003
462	863	1001
463	864	998
464	865	995
465	866	993
466	868	990
467	869	988
468	870	985
469	871	983
470	873	980
471	874	978
472	876	977
473	878	974
474	879	971
475	880	968
476	881	966
477	882	963
478	883	960
479	884	958
480	885	955
481	886	952
482	887	950
483	888	947
484	889	944
485	891	942
486	892	940
487	894	938
488	895	935
489	896	933
490	898	930
491	899	928
492	900	925
493	901	923
494	902	920
495	903	917
496	904	915
497	905	912
498	906	910
499	908	908
500	909	905
501	910	903
502	911	900
503	912	898
504	913	895
505	915	893
506	916	890
507	917	888
508	918	885
509	919	883
510	920	880
511	921	878
512	923	877
513	924	874
514	925	871
515	926	869
516	928	866
517	929	864
518	930	862
519	931	859
520	932	857
521	933	854
522	934	852
523	935	849
524	937	847
525	938	845
526	939	843
527	941	841
528	942	839
529	943	836
530	944	834
531	946	832
532	947	830
533	948	827
534	949	825
535	950	823
536	953	821
537	954	819
538	955	817
539	956	814
540	957	812
541	958	810
542	959	807
543	960	805
544	961	803
545	963	800
546	964	798
547	965	796
548	966	793
549	967	791
550	969	789
551	970	787
552	971	785
553	972	782
554	973	780
555	974	778
556	975	776
557	976	773
558	977	771
559	978	769
560	980	766
561	981	764
562	982	762
563	984	760
564	985	758
565	986	756
566	987	754
567	988	751
568	989	749
569	990	747
570	991	745
571	992	742
572	994	740
573	995	738
574	996	736
575	998	734
576	999	732
577	1000	730
578	1001	728
579	1002	726
580	1004	724
581	1005	721
582	1006	719
583	1007	717
584	1008	715
585	1009	713
586	1010	711
587	1012	709
588	1013	707
589	1015	705
590	1016	703
591	1017	701
592	1018	699
593	1020	697
594	1021	695
595	1022	693
596	1023	691
597	1025	689
598	1026	686
599	1027	684
600	1028	682
601	1030	681
602	1031	679
603	1032	677
604	1034	675
605	1035	673
606	1036	671
607	1037	669
608	1039	667
609	1040	665
610	1041	663
611	1048	664
612	1049	662
613	1051	660
614	1052	658
615	1053	656
616	1055	654
617	1056	652
618	1057	650
619	1058	648
620	1060	647
621	1062	645
622	1064	643
623	1065	642
624	1066	640
625	1068	638
626	1069	636
627	1070	634
628	1076	634
629	1078	633
630	1079	631
631	1081	629
632	1082	627
633	1083	625
634	1085	623
635	1086	621
636	1087	619
637	1088	617
638	1090	616
639	1092	614
